POLICY AND TRANSITION FUNCTIONS
                  c               k               a               f
Constant          1.122302        3.877427               0        3.939087
(correction)      -0.000189        0.000012               0               0
k(-1)             0.470841        0.980149               0        0.949688
a(-1)             0.306741        0.059920        0.950000        0.074682
eps_a              0.322886        0.063074        1.000000        0.078613
k(-1),k(-1)        0.014439        0.007102               0        0.014834
a(-1),k(-1)      -0.094121       -0.033335               0       -0.044039
a(-1),a(-1)       0.039994        0.030399               0        0.032685
eps_a,eps_a       0.044314        0.033683               0        0.036217
k(-1),eps_a      -0.099074       -0.035089               0       -0.046357
a(-1),eps_a       0.084197        0.063997               0        0.068811
