,_id,Entity,Name,Type,Country,Federal Register citation,Effective Date,Year,License requirement,License review policy,Address,Alias,Subordinate
1,b6e959b59898e975daaae8fae3a8da1ec522f9f888cafc0e6401a16d,"Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. ",Abdul Satar Ghoura,Human,AFGHANISTAN,76 FR 71869,21/11/2011,2011,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan.",NaN,NaN
2,eff72a1632af21c557fd1bfcef5f42e96de11993cca531be6b1731e9,"Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan.",Afghan-German Construction Company,Firm,AFGHANISTAN,77 FR 25057,27/4/2012,2012,For all items subject to the EAR. (See section 744.11 of the EAR).,Presumption of denial,"Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan.",NaN,NaN
3,eb22e695da3e0354126e9b7dc70fc6378bd4d6e4d08728ac48a2b7f5,"Assadullah Majed, 42S WD 18476 22167 Kabul, Afghanistan; and A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan.",Assadullah Majed,Human,AFGHANISTAN,76 FR 71869,21/11/2011,2011,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"42S WD 18476 22167 Kabul, Afghanistan; and A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan.",NaN,NaN
4,39031907aa742d9a9e2c02f2b1f1e1152704f29ba417bebdda268ce0,"Emal Bilal Construction Company (EBCC), , a.k.a., the following two aliases:
-Imal Bilal Road Construction Company; and
-Aimal and Balal Company.

 Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan.",Emal Bilal Construction Company (EBCC),Firm,AFGHANISTAN,79 FR 44683,1/8/2014,2014,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan.","['Imal Bilal Road Construction Company', 'Aimal and Balal Company.']",NaN
5,46a5a0611f6b463802ffa478d2544d443076c6b30029a14468e612a3,"Emal Bilal Mangal, , a.k.a., the following three aliases:
-Imal Bilal; and
-Aimal Balal; and
-Bellal Mangal.

 Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan.",Emal Bilal Mangal,Human,AFGHANISTAN,79 FR 44683,1/8/2014,2014,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan.","['Imal Bilal', 'Aimal Balal', 'Bellal Mangal.']",NaN
6,ef773baf03e047f916e2fc565c0cc19b87548fdde5d11c8611a87211,"Fazal Rahim Farid, , a.k.a., the following three aliases:
-Fazel Rahim Farid;
-Farid; and
-Engineer Idris.

 Microrayan 3rd Apt. 45, block #21, Kabul, Afghanistan; and A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan. ",Fazal Rahim Farid,Human,AFGHANISTAN,76 FR 71869,21/11/2011,2011,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Microrayan 3rd Apt. 45, block #21, Kabul, Afghanistan; and A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan.","['Fazel Rahim Farid', 'Farid', 'Engineer Idris.']",NaN
7,bb1ad3dff54578e22b9411167fea870007acb8560821b2f6607d046e,"Gulf Gate Sea Cargo LLC, Gulzaad Market Building, 4th Floor, Room 2, Kabul, Afghanistan.",Gulf Gate Sea Cargo LLC,Firm,AFGHANISTAN,81 FR 40178,21/6/2016,2016,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Gulzaad Market Building, 4th Floor, Room 2, Kabul, Afghanistan.",NaN,NaN
8,5e6466bc610398728f13271bb064f4906acffbf4ad00808cdb947893,"Habib ur Rahman, , a.k.a., the following two aliases:
-Hanif; and
-Habib Rahman.

 Ghazni City, Afghanistan.",Habib ur Rahman,Human,AFGHANISTAN,76 FR 71869,21/11/2011,2011,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Ghazni City, Afghanistan.","['Hanif', 'Habib Rahman.']",NaN
9,ec07454767e552d987cc77f8a7a0f216cfb39b34c04d2982d73fcd1e,"Haji Khalil Construction Company, Wazir Akbar Khan, Road Number 10, In front of National Bank, District 10, Kabul, Afghanistan.",Haji Khalil Construction Company,Firm,AFGHANISTAN,77 FR 25057,27/4/2012,2012,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Wazir Akbar Khan, Road Number 10, In front of National Bank, District 10, Kabul, Afghanistan.",NaN,NaN
10,d209a7a2adc362232c1eadba05e175e0bc449ebd8d62efa956dfa430,"Hanif Computer Zone (HCZ), Ghazni City, Afghanistan.",Hanif Computer Zone (HCZ),Firm,AFGHANISTAN,76 FR 71869,21/11/2011,2011,For all items subject to the EAR. (See section 744.11 of the EAR),Presumption of denial,"Ghazni City, Afghanistan.",NaN,NaN
